"Rank","Player","REC","TGT","ReYDS","Y/R","LG","20+","ReTD","ATT","RuYDS","RuTD","FL","G","FPTS","FPTS/G","ROST"
"118","Brandon Powell (MIN)","24","32","156","6.5","16","0","0","17","80","0","0","17","47.6","2.8","0.2%"
"119","Sammy Watkins (FA)","16","27","325","20.3","55","15","0","0","0","0","1","9","46.5","5.2","1.6%"
"120","David Bell (CLE)","24","35","214","8.9","20","1","0","0","0","0","0","15","45.4","3.0","0.6%"
"121","Skyy Moore (KC)","22","33","250","11.4","30","3","0","3","24","0","3","16","43.4","2.7","70.6%"
"122","Ashton Dulin (IND)","15","22","207","13.8","39","3","1","2","8","0","0","10","42.5","4.3","0.2%"
"123","Scotty Miller (ATL)","23","40","185","8.0","23","2","0","1","8","0","0","12","42.3","3.5","0.2%"
"124","KhaDarel Hodge (ATL)","13","20","202","15.5","39","3","1","0","0","0","0","13","41.2","3.2","0.1%"
"125","Amari Rodgers (HOU)","16","25","204","12.8","37","4","1","2","7","0","2","15","39.1","2.6","0.2%"
"126","Marquez Callaway (DEN)","16","32","158","9.9","33","3","1","0","0","0","0","10","37.8","3.8","0.2%"
"127","Zach Pascal (ARI)","15","19","150","10.0","34","3","1","1","0","0","0","15","36.0","2.4","0.1%"
"128","Byron Pringle (FA)","10","16","135","13.5","35","4","2","0","0","0","0","10","35.5","3.6","0.1%"
"129","Sterling Shepard (NYG)","13","24","154","11.8","65","4","1","0","0","0","0","3","34.4","11.5","1.9%"
"130","Khalil Shakir (BUF)","10","20","161","16.1","31","5","1","0","0","0","0","10","34.1","3.4","5.0%"
"131","Velus Jones Jr. (CHI)","7","14","107","15.3","44","4","1","9","103","1","3","11","34.0","3.1","0.3%"
"132","Jalen Nailor (MIN)","9","13","179","19.9","47","6","1","0","0","0","0","8","32.9","4.1","0.2%"
"133","Dyami Brown (WAS)","5","14","143","28.6","75","6","2","1","15","0","0","9","32.8","3.6","0.6%"
"134","Steven Sims Jr. (HOU)","14","23","104","7.4","28","1","0","13","70","0","0","12","31.4","2.6","0.1%"
"135","River Cracraft (MIA)","9","14","102","11.3","22","1","2","0","0","0","0","8","31.2","3.9","0.1%"
"136","Lawrence Cager (NYG)","13","19","118","9.1","20","1","1","0","0","0","0","6","30.8","5.1","0.1%"
"137","Keelan Cole Sr. (LV)","10","21","141","14.1","30","4","1","0","0","0","0","12","30.1","2.5","0.1%"
"138","Denzel Mims (NYJ)","11","25","186","16.9","63","6","0","0","0","0","0","9","29.6","3.3","0.3%"
"139","Jalen Reagor (MIN)","8","13","104","13.0","38","3","1","4","25","0","0","17","26.9","1.6","0.4%"
"140","Cedrick Wilson Jr. (MIA)","12","18","136","11.3","21","2","0","1","8","0","0","13","26.4","2.0","0.4%"
